ID,gender,race,ethnicity,age years,ages,genders,baths,lot,dishwash,cwasher,swim
421,M,W,N,51,5451....................................,FM..................,2,44000,1,1,2
422,M,W,N,15,4215....................................,FM..................,1,5500,0,1,0
423,F,W,N,1,280127..................................,FFM.................,1,44000,0,1,0
424,M,W,N,65,6565....................................,FM..................,1,-6,0,1,0
425,M,W,N,33,33......................................,M...................,1,-6,1,0,0
426,M,A,N,71,7163....................................,MF..................,1,-6,1,0,0
427,F,W,M,2,5346251802..............................,FMFMF...............,1,5500,0,1,0
428,F,W,N,2,410702..................................,FMF.................,3,7000,0,0,0
429,M,W,N,64,64......................................,M...................,1,5500,1,1,0
430,M,B,N,66,6666....................................,FM..................,3,9000,1,1,0
431,M,W,N,51,505113..................................,FMM.................,2,30000,1,1,0
432,F,W,O,40,4011090200..............................,FMMFM...............,3,44000,1,1,0
433,M,W,M,23,2323....................................,FM..................,1,-6,0,1,0
434,M,W,N,83,8373....................................,MF..................,1,5500,1,1,3
435,M,W,N,7,3607....................................,FM..................,1,-6,0,1,0
436,F,W,N,64,6474....................................,FM..................,2,12000,1,1,3
437,F,B,N,86,86......................................,F...................,2,5500,0,1,0
438,F,W,N,55,5510....................................,FF..................,2,220000,0,1,0
439,F,W,M,2,3330070502..............................,MFMMF...............,2,5500,1,1,2
440,F,W,M,72,7269....................................,FM..................,1,-6,1,0,0
441,M,W,N,24,24020023................................,MMMF................,1,2500,0,1,0
442,F,W,N,48,48......................................,F...................,1,-6,1,0,1
443,M,W,N,18,39380018................................,MFMM................,2,44000,1,1,0
444,M,W,N,66,6667....................................,MF..................,2,33000,0,1,0
445,F,W,N,66,66734442................................,FMMF................,2,1550,1,1,0
446,F,B,N,8,350803..................................,FFM.................,1,-6,0,0,0
447,M,W,O,38,3833181513..............................,MFMMF...............,1,-6,0,0,0
448,F,W,N,87,87......................................,F...................,3,22000,0,0,0
449,F,W,O,60,6058....................................,FM..................,1,-6,0,0,0
450,F,W,N,19,735919..................................,MFF.................,1,440000,1,1,0
451,M,O,O,32,3212322802..............................,MMMMM...............,2,-6,0,1,0
452,M,W,N,18,42441814................................,FMMM................,2,10000,1,1,0
453,M,B,N,18,474718171417............................,MFMMMM..............,2,44000,0,1,0
454,F,W,N,11,33320311................................,MFFF................,2,11000,0,1,0
455,F,W,N,13,656041231513110300......................,MFFMMFFFM...........,1,44000,0,0,0
456,M,W,N,0,19020019................................,FFMM................,1,-6,0,0,0
457,F,W,N,13,521513..................................,MFF.................,1,-6,0,1,0
458,M,O,O,23,2322....................................,MF..................,1,-6,0,0,0
459,M,W,N,33,33......................................,M...................,1,-6,1,1,0
460,F,W,N,78,78......................................,F...................,1,44000,0,0,0
461,F,W,N,78,78......................................,F...................,2,22000,0,1,0
462,M,W,N,70,7270....................................,FM..................,1,999998,0,1,0
463,F,W,N,7,40451711080706..........................,FMFMMFM.............,1,9600,0,1,0
464,F,N,N,45,49452523................................,MFFM................,2,-6,1,1,0
465,F,W,N,59,6059....................................,MF..................,2,5500,0,1,0
466,F,B,N,66,69664631................................,MFMM................,1,5500,1,1,0
467,F,W,N,33,332801..................................,FMF.................,2,2000,1,1,0
468,F,W,N,63,6394....................................,FF..................,1,5500,1,1,0
469,M,O,O,3,222203014944............................,MFMFMF..............,1,6000,1,1,0
470,M,W,M,12,434312..................................,MFM.................,1,6054,1,1,0
471,F,W,N,54,57541723................................,MFFM................,2,11000,0,1,0
472,F,W,N,60,6360....................................,MF..................,2,11000,1,1,0
473,M,W,N,2,373812100202............................,MFMMFM..............,3,25000,0,1,0
474,F,W,N,47,474725..................................,MFF.................,1,9000,1,1,2
475,M,W,N,28,2827....................................,MF..................,1,-6,0,1,0
476,M,O,M,53,53......................................,M...................,3,9000,1,1,0
477,M,W,O,35,351209..................................,MMF.................,1,-6,1,1,0
478,M,W,N,69,6964....................................,MF..................,2,999998,1,1,0
479,M,W,N,47,474718151106............................,FMMMMM..............,2,176000,1,1,0
480,F,W,N,61,6114....................................,FF..................,2,132000,1,1,0
481,M,W,N,7,46411307................................,MFFM................,2,94600,1,1,0
482,M,A,N,40,4040....................................,MF..................,1,-6,0,0,0
483,F,W,N,27,2727....................................,MF..................,2,-6,0,1,0
484,M,W,N,54,5454....................................,MF..................,2,5000,0,1,0
485,F,W,M,7,524407..................................,MFF.................,1,560,1,1,2
486,F,W,N,28,2827....................................,FM..................,2,132000,0,1,0
487,F,W,N,19,192019..................................,FFF.................,1,-6,1,1,0
488,M,W,N,26,452634..................................,FMM.................,1,-6,1,1,0
489,M,W,N,64,6472....................................,MM..................,2,44000,1,1,0
490,M,O,O,2,602002..................................,FFM.................,2,-6,0,0,0
491,F,W,N,17,414517..................................,MFF.................,2,44000,0,1,0
492,M,W,N,78,7868....................................,MF..................,2,-6,0,0,0
493,M,W,N,60,605919..................................,MFF.................,3,5500,1,1,0
494,F,B,N,59,59......................................,F...................,1,-6,0,0,0
495,F,O,O,22,66462218................................,FFFF................,1,-6,0,1,0
496,F,W,N,22,222220..................................,MFF.................,1,-6,0,0,0
497,M,W,M,1,32060120232137..........................,FFMMMMM.............,2,-6,0,0,0
498,M,W,M,12,36161208................................,MMMF................,1,-6,0,0,0
499,M,W,N,27,2726....................................,MM..................,1,-6,0,0,0
500,F,W,N,43,45432013................................,MFMM................,2,440000,1,1,0
501,F,W,N,27,30270601................................,MFFF................,2,-6,0,1,0
502,F,W,N,59,59583333................................,FMFM................,2,33000,1,1,2
503,F,A,N,60,60......................................,F...................,1,11000,1,1,0
504,F,W,N,38,38171513................................,FMFM................,1,-6,0,1,0
505,F,W,N,1,393601..................................,MFF.................,1,-6,1,1,0
506,F,W,N,17,3213071760..............................,FMFFF...............,1,5500,1,1,0
507,M,W,N,4,38350804................................,FMFM................,1,5500,0,1,0
508,F,W,N,47,4746221007..............................,FMFMF...............,1,22000,1,1,0
509,F,W,N,61,61......................................,F...................,2,-6,1,0,0
510,F,W,N,8,53541108................................,FMMF................,1,-6,1,1,0
511,M,A,N,13,46481513................................,FMMM................,1,-6,1,1,0
512,F,W,N,13,441613..................................,FFF.................,2,5000,1,1,0
513,F,O,M,7,53281007................................,FMFF................,1,3000,0,1,0
514,F,W,N,59,735932..................................,MFF.................,1,176000,1,1,0
515,F,W,N,41,411412..................................,FMF.................,1,44000,0,0,0
516,M,W,N,10,5510....................................,FM..................,1,22000,1,1,0
517,F,W,N,48,4448....................................,MF..................,3,44000,1,1,0
518,M,W,N,43,43431211................................,FMFF................,3,44000,1,1,0
519,F,W,M,3,474323030226............................,MFFFFM..............,1,44000,0,0,0
520,F,W,N,54,56541815................................,MFFF................,1,10000,1,1,0
521,F,A,N,27,585227..................................,MFF.................,1,-6,0,0,0
522,F,W,N,56,5660....................................,FM..................,2,10500,1,1,0
523,F,W,N,69,7369....................................,MF..................,1,-6,1,0,0
524,F,W,N,65,65......................................,F...................,2,220000,0,1,0
525,M,W,N,67,6758....................................,MF..................,2,44000,0,1,0
526,F,W,N,42,424618171262............................,FMFMMF..............,1,7200,0,1,0
527,F,W,N,8,625318110908............................,MFFMFF..............,2,308000,1,1,0
528,F,W,N,46,454618..................................,MFM.................,2,220000,1,1,2
529,F,W,N,4,26280401................................,MFFM................,1,382800,0,0,0
530,M,W,N,62,626230..................................,MFF.................,2,40000,1,1,2
531,F,W,M,53,51532416................................,MFFF................,2,7500,0,1,0
532,M,A,N,51,46511107................................,FMFF................,2,1460,1,1,0
533,F,W,N,21,44442119................................,FMFM................,3,1500,1,1,0
534,M,W,N,20,4220....................................,MM..................,1,88000,0,1,0
535,F,O,M,4,5351312412100400........................,MFFFMFFM............,2,14400,1,1,3
536,F,W,N,86,86......................................,F...................,2,10000,0,1,0
537,F,W,N,36,361813080126............................,FMFFFM..............,1,27000,0,0,0
538,F,W,N,27,2827....................................,MF..................,1,8000,0,1,2
540,F,W,N,8,29350804................................,FMFF................,1,132000,0,1,1
541,F,W,N,65,6570....................................,FM..................,1,-6,0,1,0
542,M,W,N,36,36......................................,M...................,1,-6,1,0,0
543,F,W,M,0,40360500................................,MFMF................,2,1000,0,1,0
544,M,W,N,85,8585....................................,MF..................,2,440000,1,1,0
545,F,W,N,43,775243..................................,FMF.................,2,176000,1,1,0
546,M,W,N,21,2141....................................,MM..................,3,-6,1,1,3
547,M,N,N,54,55606454................................,MFFM................,2,-6,0,1,0
548,F,W,N,21,7068211917070605044621..................,MFMFMFFFMFF.........,1,5000,1,1,0
549,M,W,N,56,5856....................................,FM..................,2,22000,1,1,0
550,M,W,N,45,4545271912..............................,MFFFF...............,1,5500,0,1,0
551,F,W,N,25,735755262521180706036029................,FFFFFMMFFMMM........,1,5000,0,1,0
552,F,O,N,9,441817110905............................,FFFFFF..............,1,11000,1,1,0
553,M,W,N,3,3431080403..............................,MFFMM...............,2,22000,1,1,0
554,M,W,N,34,2934....................................,MM..................,2,4000,1,1,0
555,F,W,N,79,79......................................,F...................,2,-6,1,1,0
556,F,W,N,38,66653817................................,FMFM................,3,14000,1,1,0
557,M,B,O,18,831811..................................,FMF.................,1,-6,0,0,0
558,M,W,N,59,5959....................................,MF..................,2,14000,1,1,2
559,M,A,N,0,4233030000..............................,MFMMF...............,1,2700,1,1,0
560,M,W,N,4,32300402................................,MFMF................,2,11000,0,1,0
561,F,W,N,53,536027..................................,FMF.................,2,11000,1,1,0
562,F,W,N,23,4423....................................,FF..................,1,-6,0,0,0
563,F,W,N,22,536022..................................,FMF.................,2,44000,1,1,0
564,M,W,N,40,40401716141108..........................,MFMMMFM.............,2,44000,1,1,0
565,F,W,N,11,4645181611..............................,MFMMF...............,2,88000,1,1,0
566,F,W,N,69,69435822................................,FFFF................,2,7000,0,1,0
567,F,W,N,57,575987..................................,FFF.................,2,44000,1,1,0
568,F,B,N,47,5647....................................,MF..................,2,13200,1,1,0
569,M,B,N,3,727311040301............................,MFFMMF..............,2,11000,1,1,2
570,M,W,N,12,32141210................................,FFMM................,1,15000,0,1,0
571,M,O,M,31,310806060334............................,MFMMMF..............,1,-6,1,0,0
572,F,W,N,16,524916..................................,MFF.................,3,5500,1,1,0
573,F,W,N,15,49401512................................,FMFM................,2,44000,1,1,0
574,M,W,M,14,3316141227..............................,MMMMF...............,2,5500,0,1,0
575,F,W,N,72,7231....................................,FM..................,1,1800,0,1,0
576,F,W,N,1,24040123................................,MMFF................,1,2250,0,1,0
577,M,W,M,56,565625..................................,FMM.................,2,5500,0,1,0
578,F,W,N,48,55481816................................,MFFM................,2,8000,1,1,0
579,F,O,O,0,351612090022............................,FMMMFM..............,1,2100,0,1,0
580,F,W,N,33,3111033313..............................,MFMFF...............,2,-6,0,1,0
581,M,W,N,56,50562116................................,FMFM................,3,34200,1,1,0
582,F,W,N,18,52501816................................,MFFF................,2,44000,1,1,0
583,M,W,M,3,230320..................................,FMM.................,1,11000,1,1,0
584,M,W,N,0,2830050300..............................,FMMMM...............,2,10625,1,1,0
585,M,A,N,31,29040131................................,FFMM................,2,875,1,1,0
586,F,W,N,9,505409..................................,MFF.................,2,8000,1,1,0
587,M,W,N,26,27260412................................,FMMF................,2,2500,0,1,0
588,F,W,N,82,8482....................................,MF..................,1,1800,1,1,2
589,F,W,N,51,595107..................................,MFF.................,2,176000,1,1,0
590,M,W,N,61,615853..................................,MMF.................,1,11000,0,1,0
591,M,W,N,53,5363....................................,MF..................,1,44000,1,1,0
592,F,W,N,61,6164....................................,FM..................,2,6000,1,1,3
593,F,O,N,18,4141191805..............................,FMMFF...............,2,11000,0,1,2
594,M,B,N,31,31......................................,M...................,2,-6,0,1,0
595,F,W,N,12,434015120868............................,MFFFFM..............,2,7000,1,1,0
596,F,W,N,25,2529....................................,FM..................,1,-6,0,0,0
597,F,O,O,20,5666201558..............................,FMFFM...............,1,-6,1,1,0
598,F,O,O,60,6062....................................,FM..................,2,11000,1,1,0
599,F,W,M,42,18120742................................,FMFF................,2,30000,0,1,0
600,M,B,N,72,657372..................................,MFM.................,2,-6,1,1,0
601,F,W,N,29,3029....................................,MF..................,1,-6,0,1,0
602,F,W,N,49,4962290906..............................,FMFMF...............,2,1536,1,1,0
603,F,W,N,65,65......................................,F...................,2,-6,1,1,0
604,M,O,M,55,485518..................................,FMM.................,3,264000,1,0,0
605,F,B,N,42,423018070119............................,FMFFFM..............,2,88000,0,1,0
606,M,W,N,49,471049..................................,FMM.................,1,14000,0,1,0
607,M,B,N,81,81......................................,M...................,1,12000,0,1,0
608,M,W,N,35,3537....................................,MF..................,2,51480,1,1,0
609,M,W,N,8,40460805................................,MFMF................,3,38500,1,1,0
610,M,P,N,71,7176....................................,MF..................,2,11000,1,1,0
611,F,W,O,57,3138050057..............................,FMMMF...............,2,-6,0,0,0
612,F,W,N,52,5052....................................,FF..................,2,5000,1,1,1
613,M,A,M,71,7170....................................,MF..................,4,14000,1,1,3
614,F,W,O,57,57191860................................,FMMM................,1,-6,1,0,0
615,F,A,N,66,6766....................................,MF..................,3,-6,1,1,0
616,M,W,N,17,49481713................................,FMMF................,1,44000,1,1,1
617,F,W,N,41,41431612094069..........................,FMFFFMM.............,2,88000,1,1,1
618,F,W,N,25,3425....................................,MF..................,1,-6,1,1,0
619,M,W,N,56,561037..................................,MFF.................,1,10000,0,1,0
620,M,B,N,60,606035..................................,MFM.................,1,18000,1,1,0
621,M,W,N,63,3763....................................,MM..................,2,5500,1,1,2
622,F,W,N,49,494818..................................,FMM.................,3,6400,1,1,0
623,F,W,N,64,6467....................................,FM..................,1,7500,1,1,0
624,F,W,N,3,36330301................................,MFFF................,1,8000,1,1,0
625,M,O,M,1,312909040168............................,FMMMMF..............,1,22000,0,1,0
626,F,W,N,73,7374....................................,FM..................,2,20000,0,1,0
627,M,W,N,48,4648120804..............................,FMFFF...............,2,15366,1,1,0
628,M,W,O,60,939360..................................,FMM.................,1,9810,1,1,0
629,M,W,N,66,6665....................................,MF..................,2,44000,1,1,0
630,F,W,M,35,353917131204............................,FMFFMM..............,1,5500,0,1,1
631,M,W,N,52,747452..................................,MFM.................,1,6000,0,1,0
632,M,B,N,17,71744017171616..........................,MFMFMFM.............,1,44000,1,1,0
633,M,A,N,42,5042....................................,MM..................,2,-6,1,0,0
634,M,W,N,81,8180....................................,MF..................,2,10199,1,1,0
635,F,W,N,38,381139..................................,FFM.................,1,6000,1,1,1
636,F,W,N,52,5255....................................,FM..................,2,3900,1,1,0
638,M,W,M,33,33......................................,M...................,2,1800,1,1,0
639,F,W,M,2,2204020021..............................,MFFMF...............,2,22000,0,1,0
640,M,W,N,57,5757....................................,FM..................,1,308000,1,1,0
641,M,W,N,9,42401409................................,FMFM................,1,22000,1,1,2
642,F,W,N,64,6464....................................,MF..................,2,2200,0,1,0
643,F,W,N,55,6655....................................,MF..................,2,44000,0,1,0
644,M,B,N,49,7849....................................,FM..................,2,-6,1,1,0
645,F,W,N,0,26060020................................,MMFF................,3,13200,0,1,0
646,F,W,N,85,85......................................,F...................,1,-6,0,0,0
647,M,W,N,55,5567....................................,MF..................,2,6400,1,1,0
648,F,W,N,20,212020..................................,FFF.................,1,-6,0,0,0
649,F,B,N,7,4543110907..............................,MFMFF...............,2,10500,1,1,0
650,F,W,N,75,7550....................................,FM..................,2,154880,0,1,0
651,M,W,N,22,252322..................................,MFM.................,2,-6,0,0,0
652,M,W,N,4,240429..................................,FMM.................,3,132000,1,1,2
653,F,W,N,46,46......................................,F...................,1,10000,1,1,0
654,M,A,N,23,5471523931292524232222..................,MMFMMMMFMMF.........,1,-6,0,0,0
655,F,W,N,27,2827....................................,MF..................,1,-6,0,1,0
656,M,B,N,66,656629..................................,FMM.................,1,5500,1,1,0
657,M,W,O,55,5558....................................,MF..................,1,-6,0,0,0
658,F,W,N,68,6838....................................,FM..................,3,220000,1,1,0
659,M,W,N,38,403810..................................,FMF.................,2,11000,1,1,3
660,M,W,N,1,383201..................................,MFM.................,3,528000,1,1,0
661,F,W,N,53,53......................................,F...................,1,11000,1,1,1
662,M,B,N,36,3836....................................,FM..................,1,15400,1,1,0
663,F,W,N,1,555832020128............................,FMMMFF..............,2,24672,1,1,0
664,F,A,N,13,42451312................................,MFFF................,3,44000,1,1,0
665,M,W,N,53,53222016................................,MFMF................,2,6200,0,1,0
666,F,W,N,1,303201..................................,FMF.................,2,16000,1,1,0
667,M,W,N,61,6149....................................,MM..................,2,352000,1,1,1
668,M,W,N,49,49......................................,M...................,1,-6,0,0,0
669,F,P,N,18,3839222118..............................,MFFMF...............,2,8778,0,1,0
670,M,W,N,35,28350603................................,FMMF................,1,22000,1,1,1
671,M,A,N,13,39421613................................,FMMM................,2,5500,1,1,0
672,M,W,N,52,52......................................,M...................,1,-6,0,0,0
673,M,W,N,52,52......................................,M...................,1,50000,0,0,0
674,M,W,N,54,48542316................................,FMMF................,2,96800,1,1,1
675,F,W,N,50,5065....................................,FM..................,2,19800,1,1,0
676,M,W,N,2,21020036................................,FMMM................,1,-6,0,0,0
677,F,W,N,60,5760....................................,MF..................,1,-6,0,1,0
678,F,A,N,72,72......................................,F...................,3,17381,0,1,0
679,F,W,N,50,6750....................................,FF..................,1,-6,0,1,0
680,M,W,N,11,3529161104..............................,FMMMM...............,1,1500,1,1,0
681,F,A,N,5,51510905................................,MFFF................,2,-6,1,1,0
682,F,W,N,33,33450012................................,FMFM................,3,5000,1,1,0
683,F,W,N,35,4135....................................,MF..................,3,15000,0,1,0
684,M,N,N,11,414111..................................,MFM.................,1,330000,0,0,0
685,F,W,N,44,4444171513..............................,FMFMM...............,1,5850,1,1,0
686,F,W,N,10,3810....................................,MF..................,2,88000,0,0,0
687,M,W,N,2,424102..................................,FMM.................,2,-6,0,0,0
688,F,W,N,57,5857....................................,MF..................,2,44000,1,1,0
689,F,B,N,18,666418..................................,MFF.................,1,44000,0,1,0
690,F,O,O,71,71......................................,F...................,1,-6,0,0,0
691,M,W,N,65,666531..................................,FMF.................,3,8500,1,1,0
692,M,W,O,41,414104..................................,MFM.................,1,-6,1,1,0
693,F,W,N,21,323916101921............................,FMMFMF..............,2,22000,1,1,0
694,M,W,N,18,50411118................................,MFFM................,2,41800,1,1,0
695,F,W,N,28,262728..................................,MMF.................,2,11000,1,1,0
696,M,W,N,19,5448191816141411090605..................,MFMFMMMFMMM.........,2,999998,1,1,0
697,F,W,N,38,38380200................................,MFMF................,2,7500,1,1,0
698,M,W,N,2,35350602................................,MFMM................,3,616000,1,1,3
699,M,W,N,68,6851....................................,MF..................,2,45000,1,0,0
700,F,B,N,25,4525....................................,FF..................,1,-6,0,0,0
701,F,W,O,63,393913110763............................,MFMMMF..............,1,12000,0,0,0
702,M,O,O,49,4944....................................,MF..................,1,-6,0,0,0
703,F,W,N,26,3226....................................,MF..................,2,176000,0,1,0
704,F,W,N,63,63......................................,F...................,1,-6,1,1,0
705,F,B,N,40,40......................................,F...................,1,-6,0,0,0
706,M,A,N,4,412804..................................,FMM.................,1,-6,0,0,0
707,F,W,O,26,56532619................................,MFFM................,1,22000,1,1,0
708,F,B,N,49,5249171411..............................,MFMMF...............,3,73040,1,1,0
709,F,W,N,55,5528....................................,FM..................,1,-6,1,1,0
710,F,A,N,36,37360705................................,MFFM................,1,3750,0,1,0
711,F,B,N,44,7944....................................,FF..................,1,13280,1,1,0
712,F,W,M,25,25260200................................,FMMM................,1,-6,0,0,0
713,F,W,N,8,3135120908..............................,FMMFF...............,2,88000,0,1,0
714,M,O,O,10,29121009................................,FFMF................,1,-6,0,0,0
715,M,B,N,1,66392801................................,FFFM................,1,-6,0,1,0
716,M,W,N,60,6032....................................,MM..................,1,6355,0,1,0
717,M,W,M,17,381715..................................,FMM.................,2,44000,0,1,0
718,M,W,M,12,32331208................................,FMMM................,2,11250,1,1,2
719,F,W,N,53,53......................................,F...................,2,44000,0,1,0
720,F,W,N,66,6668....................................,FM..................,1,44000,1,1,0
721,M,W,N,54,5454....................................,MF..................,2,13000,1,1,0
722,M,O,M,1,32270301................................,MFMM................,1,132000,1,1,2
723,F,W,M,16,7170481816..............................,MFFMF...............,2,3165,1,1,0
724,F,W,N,32,333200..................................,MFM.................,1,8750,1,1,0
725,F,W,N,65,6565....................................,FM..................,2,264000,0,1,0
726,M,W,N,25,25......................................,M...................,3,18000,1,1,0
728,M,W,N,46,4644161309..............................,MFMMF...............,2,11000,1,1,2
729,F,B,N,49,4917....................................,FM..................,1,-6,0,0,0
730,F,W,N,18,53582118................................,FMFF................,2,-6,1,1,1
731,M,O,O,21,2121....................................,FM..................,2,-6,1,1,0
732,F,W,N,8,431108..................................,FFF.................,1,7500,1,1,0
733,F,W,O,43,431409..................................,FMF.................,2,-6,1,0,0
734,F,W,M,76,8276....................................,MF..................,1,44000,0,1,0
735,M,W,N,55,5655....................................,FM..................,2,-6,0,1,0
737,M,W,M,34,3424....................................,MM..................,1,-6,0,0,0
738,M,W,N,1,40510301................................,FMFM................,1,-6,1,1,0
739,F,B,N,22,552201..................................,FFM.................,2,-6,0,0,0
740,F,W,M,23,47472316................................,MFFM................,1,44000,1,1,0
741,F,W,N,11,5545161311..............................,MFFFF...............,4,220000,1,1,0
742,M,W,N,12,42431612................................,MFFM................,2,44000,0,1,2
743,M,B,N,64,6464....................................,MF..................,1,33000,1,1,2
744,F,A,N,47,6047....................................,MF..................,2,6400,1,1,0
745,F,W,N,31,3631....................................,MF..................,1,-6,1,1,0
746,F,B,N,31,3133....................................,FM..................,1,-6,0,0,0
747,M,W,N,3,253103..................................,FMM.................,2,14000,1,1,0
748,F,W,N,52,55523027................................,MFMM................,2,88000,1,1,0
749,M,W,N,64,6462....................................,MF..................,1,132000,1,1,0
750,M,W,N,15,381509..................................,FMF.................,2,55000,1,1,0
751,M,W,N,18,43431813................................,FMMF................,2,-6,1,1,0
752,F,W,N,24,242424..................................,FFF.................,2,9000,0,1,0
753,F,B,N,59,5914....................................,FM..................,1,1178,0,1,0
754,M,W,M,4,2104....................................,FM..................,1,5500,0,1,0
755,F,N,M,62,226222..................................,FFM.................,2,-6,1,1,0
756,F,W,N,7,36300907060603..........................,MFFFFFM.............,1,8546,1,1,2
757,F,W,M,8,3636080504..............................,MFFFM...............,1,-6,0,1,0
758,M,W,N,28,282232..................................,MFF.................,3,792000,0,1,0
759,F,W,N,51,512519..................................,FMM.................,1,1400,0,1,0
760,M,W,N,54,5454....................................,FM..................,2,12000,0,1,0
761,F,W,N,51,5151....................................,MF..................,2,5600,1,1,0
762,M,W,N,55,55......................................,M...................,2,965,1,1,0
763,F,B,N,9,35321509................................,MFMF................,2,88000,1,1,0
764,F,W,N,48,485516..................................,FMF.................,6,308000,1,1,1
765,F,O,M,88,88......................................,F...................,2,44000,0,1,0
766,M,O,N,5,36360501................................,MFMM................,2,-6,0,1,0
767,F,W,N,39,47391509................................,MFMM................,1,35200,1,1,0
768,F,A,N,41,5241....................................,MF..................,1,-6,0,0,0
769,F,W,N,38,453811..................................,MFF.................,1,11000,1,1,0
770,M,W,N,59,5659....................................,FM..................,2,3200,0,1,0
771,M,W,N,60,4860....................................,MM..................,2,999998,1,1,0
772,F,W,N,1,37340301................................,MFMF................,2,10000,1,1,0
773,F,W,N,13,4746141305..............................,MFMFF...............,3,176000,1,1,1
774,M,W,N,48,48191614................................,MMFM................,2,10000,1,1,0
775,F,O,O,49,4949....................................,MF..................,2,44000,1,1,0
776,F,W,N,24,2427....................................,FM..................,2,44000,0,1,0
777,M,W,N,26,6161292687..............................,FMMMF...............,2,14000,1,1,1
778,M,W,O,34,343308..................................,MFF.................,2,44000,1,1,0
779,F,B,N,46,47252846................................,MFMF................,2,20000,1,1,3
780,F,W,N,55,56552694................................,MFMM................,1,1100,1,1,0
781,F,W,N,50,5041....................................,FM..................,2,22000,1,1,0
782,F,W,N,20,525420..................................,MFF.................,2,14000,1,1,0
783,F,W,N,26,5855302682..............................,MFMFF...............,1,11000,1,1,0
784,M,O,N,33,333507..................................,MFF.................,2,44000,0,0,0
785,F,W,N,66,666727..................................,FMM.................,1,7600,1,1,0
786,F,B,N,58,335851..................................,MFM.................,1,1040,0,1,0
787,F,W,N,23,232322..................................,MFF.................,1,-6,0,0,0
788,F,A,N,57,6557351715..............................,MFMMF...............,2,5000,1,1,0
789,M,O,M,6,37390906................................,FMFM................,3,132000,1,1,0
790,M,W,N,36,3736121109..............................,FMMFM...............,1,-6,1,1,0
791,F,O,N,44,4144....................................,MF..................,2,44000,0,1,0
792,F,W,N,28,242823..................................,FFF.................,2,15000,1,1,0
793,M,A,N,50,50531310................................,MFFF................,2,4800,1,1,1
794,F,W,N,37,4337....................................,MF..................,2,33000,1,1,0
795,M,W,N,60,606216..................................,MFF.................,2,88000,1,1,0
796,F,B,N,50,502403..................................,FFF.................,1,1800,0,1,0
797,F,W,O,20,4873212017..............................,FMFFF...............,1,-6,0,1,0
798,M,A,N,48,482616770427............................,MFFMMM..............,2,6000,1,1,0
799,M,W,O,58,525822211901............................,FMFFFF..............,3,11000,1,1,0
800,F,W,N,39,39......................................,F...................,1,2280,1,1,0
801,F,B,N,32,42322116................................,MFFM................,1,18000,1,1,0
802,M,B,N,62,6062....................................,FM..................,1,7500,1,1,0
803,M,W,N,38,636338..................................,FMM.................,1,308000,1,1,1
804,F,W,N,7,28300907................................,FMMF................,2,5500,1,1,0
805,F,O,M,28,28330903................................,FMMM................,2,-6,0,0,0
806,F,W,N,50,505016..................................,FMF.................,2,44000,1,1,0
807,F,B,N,34,34......................................,F...................,1,-6,0,0,0
808,F,W,N,66,66......................................,F...................,2,7000,1,1,0
809,F,O,O,1,722704030132............................,MFMFFM..............,2,220000,1,1,0
810,F,W,N,33,33......................................,F...................,1,-6,1,1,0
811,F,W,O,29,29290202................................,FMMM................,2,44000,0,1,0
812,F,W,N,30,300501..................................,FFM.................,1,-6,0,1,0
813,F,W,N,4,587406050404040301......................,FMMFMFFMM...........,2,10375,1,1,0
814,F,W,M,63,3231080563..............................,FMFMF...............,4,22000,1,1,0
815,F,W,N,16,485316..................................,MFF.................,2,176000,1,1,0
816,F,W,N,52,52......................................,F...................,1,6500,0,0,0
817,M,A,N,30,30......................................,M...................,2,-6,0,0,0
818,M,W,N,51,51390504................................,MFMF................,2,7000,1,1,0
819,M,W,N,43,433003..................................,MFF.................,3,44000,1,1,0
820,M,W,N,56,77785356................................,MFMM................,2,5500,0,1,0
821,M,W,N,87,87......................................,M...................,2,7500,0,0,0
822,M,W,N,8,4408....................................,MM..................,1,2850,1,1,2
823,F,W,N,49,49......................................,F...................,2,44000,0,1,0
824,F,B,N,65,652712..................................,FMF.................,2,5500,1,1,1
825,F,B,N,22,41201102223115..........................,MFMFFFM.............,2,14000,1,1,0
826,F,W,N,68,7168....................................,MF..................,1,28000,1,1,0
827,F,W,N,61,70615073................................,FFMM................,3,9600,1,1,0
828,F,B,M,26,260400..................................,FMM.................,1,-6,0,0,0
829,M,W,N,27,2724....................................,MF..................,2,-6,0,1,0
830,M,A,N,44,44401207................................,MFMM................,2,17600,1,1,0
831,F,W,M,22,54562522................................,FMMF................,1,5500,0,1,0
832,M,W,N,33,283325..................................,MMF.................,3,23000,1,1,0
833,F,W,N,17,38361717................................,MFMF................,2,44000,0,1,0
834,F,W,N,23,5154323323..............................,FMFMF...............,1,5000,0,1,2
835,F,W,N,12,4846191512..............................,MFMFF...............,1,1200,0,1,0
836,F,W,N,30,323001..................................,MFF.................,1,44000,1,1,0
837,F,B,N,63,63......................................,F...................,2,11000,1,1,0
838,F,O,N,10,31333316141005..........................,MMFMMFM.............,1,22000,0,1,0
839,M,W,N,55,5555....................................,MF..................,1,5500,1,1,3
840,M,W,N,34,3234....................................,FM..................,1,-6,0,0,0
841,M,W,N,50,50......................................,M...................,1,-6,1,1,0
842,F,W,O,89,89......................................,F...................,1,-6,0,0,0
843,M,W,N,73,7373....................................,MF..................,3,132000,1,1,0
